"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 14:18:20 GMT 2024","Sat Jul 27 14:18:21 GMT 2024","861","chromium","weather.spec.ts","Прогноз погоды","","","Определение геопозиции","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:14 GMT 2024","Sat Jul 27 14:18:16 GMT 2024","1498","chromium","weather.spec.ts","Прогноз погоды","","","Отображение страницы ""Прогноз погоды""","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:16 GMT 2024","Sat Jul 27 14:18:18 GMT 2024","2238","chromium","weather.spec.ts","Прогноз погоды","","","Поиск города и отображение виджета погоды","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:28 GMT 2024","Sat Jul 27 14:18:30 GMT 2024","2243","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в малом виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:24 GMT 2024","Sat Jul 27 14:18:26 GMT 2024","1893","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в большом виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:23 GMT 2024","Sat Jul 27 14:18:24 GMT 2024","1497","chromium","weather.spec.ts","Прогноз погоды","","","Проверка переключения между виджетами","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:26 GMT 2024","Sat Jul 27 14:18:28 GMT 2024","2196","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в среднем виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:18 GMT 2024","Sat Jul 27 14:18:20 GMT 2024","1860","chromium","weather.spec.ts","Прогноз погоды","","","Смена города","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:18:21 GMT 2024","Sat Jul 27 14:18:23 GMT 2024","1510","chromium","weather.spec.ts","Прогноз погоды","","","(H) Поиск несуществующего города и отображение ошибки","Проверки на странице прогноза погоды"
